Path;Travel weight;Elapsed time;Best solution;Deviation;Algorithm
6 1 4 2 3 5 6 ;33;0,00385;33;-3400;TspBabBfs
6 1 4 2 3 5 6 ;33;0,0046251;33;-3400;TspBabBestFs
1 2 5 3 6 4 1 ;28;0,0061588;28;-2900;DfsBruteForce
2 5 3 6 4 1 2 ;28;9,82e-05;28;-2900;TspNN
6 4 1 2 5 3 6 ;28;30;28;-2900;TspRand
6 4 1 2 5 3 6 ;28;0,0015731;28;-2900;TspBabDfs
6 4 1 2 5 3 6 ;28;0,0014654;28;-2900;TspBabBfs
6 4 1 2 5 3 6 ;28;0,0018351;28;-2900;TspBabBestFs
1 3 4 5 6 2 1 ;35;0,0061933;35;-3600;DfsBruteForce
1 3 4 5 6 2 1 ;35;9,55e-05;35;-3600;TspNN
2 1 3 4 5 6 2 ;35;30;35;-3600;TspRand
6 2 1 3 4 5 6 ;35;0,0021343;35;-3600;TspBabDfs
6 2 1 3 4 5 6 ;35;0,0020582;35;-3600;TspBabBfs
6 2 1 3 4 5 6 ;35;0,0024446;35;-3600;TspBabBestFs
1 5 4 3 6 2 1 ;24;0,0063375;24;-2500;DfsBruteForce
1 5 4 3 6 2 1 ;24;9,44e-05;24;-2500;TspNN
2 1 5 4 3 6 2 ;24;30;24;-2500;TspRand
6 2 1 5 4 3 6 ;24;0,0013004;24;-2500;TspBabDfs
6 2 1 5 4 3 6 ;24;0,0013566;24;-2500;TspBabBfs
6 2 1 5 4 3 6 ;24;0,0014283;24;-2500;TspBabBestFs
1 5 3 2 4 6 1 ;32;0,006038;32;-3300;DfsBruteForce
3 6 1 2 4 5 3 ;34;0,0001036;34;-3500;TspNN
2 4 6 1 5 3 2 ;32;30;32;-3300;TspRand
6 1 5 3 2 4 6 ;32;0,0023999;32;-3300;TspBabDfs
6 1 5 3 2 4 6 ;32;0,0022419;32;-3300;TspBabBfs
6 1 5 3 2 4 6 ;32;0,0027423;32;-3300;TspBabBestFs
1 6 4 5 3 2 1 ;26;0,0058008;26;-2700;DfsBruteForce
4 5 3 2 1 6 4 ;26;0,0001411;26;-2700;TspNN
3 2 1 6 4 5 3 ;26;30;26;-2700;TspRand
6 4 5 3 2 1 6 ;26;0,0022337;26;-2700;TspBabDfs
6 4 5 3 2 1 6 ;26;0,002158;26;-2700;TspBabBfs
6 4 5 3 2 1 6 ;26;0,0026077;26;-2700;TspBabBestFs
1 5 6 3 2 4 1 ;32;0,0058271;32;-3300;DfsBruteForce
2 4 1 5 6 3 2 ;32;7,36e-05;32;-3300;TspNN
5 6 3 2 4 1 5 ;32;30;32;-3300;TspRand
6 3 2 4 1 5 6 ;32;0,0017355;32;-3300;TspBabDfs
6 3 2 4 1 5 6 ;32;0,0016416;32;-3300;TspBabBfs
6 3 2 4 1 5 6 ;32;0,0019454;32;-3300;TspBabBestFs
1 2 4 6 5 3 1 ;30;0,0060388;30;-3100;DfsBruteForce
5 3 1 2 4 6 5 ;30;0,0001214;30;-3100;TspNN
1 2 4 6 5 3 1 ;30;30;30;-3100;TspRand
6 5 3 1 2 4 6 ;30;0,0035984;30;-3100;TspBabDfs
6 5 3 1 2 4 6 ;30;0,0032539;30;-3100;TspBabBfs
6 5 3 1 2 4 6 ;30;0,00425;30;-3100;TspBabBestFs
1 6 3 4 2 5 1 ;47;0,0061491;47;-4800;DfsBruteForce
3 4 2 1 5 6 3 ;52;0,0001645;52;-5300;TspNN
2 5 1 6 3 4 2 ;47;30;47;-4800;TspRand
6 3 4 2 5 1 6 ;47;0,0050343;47;-4800;TspBabDfs
6 3 4 2 5 1 6 ;47;0,0052548;47;-4800;TspBabBfs
6 3 4 2 5 1 6 ;47;0,0065065;47;-4800;TspBabBestFs
1 2 6 4 3 7 5 1 ;105;0,0466419;105;-10600;DfsBruteForce
7 5 1 2 6 4 3 7 ;105;0,000166;105;-10600;TspNN
5 1 2 6 4 3 7 5 ;105;30;105;-10600;TspRand
7 5 1 2 6 4 3 7 ;105;0,0147448;105;-10600;TspBabDfs
7 5 1 2 6 4 3 7 ;105;0,0166415;105;-10600;TspBabBfs
7 5 1 2 6 4 3 7 ;105;0,0198161;105;-10600;TspBabBestFs
1 4 2 3 6 5 7 1 ;128;0,0465878;128;-12900;DfsBruteForce
2 3 6 5 7 1 4 2 ;128;0,0001199;128;-12900;TspNN
1 4 2 3 6 5 7 1 ;128;30;128;-12900;TspRand
7 1 4 2 3 6 5 7 ;128;0,0220773;128;-12900;TspBabDfs
